,Major,Minor,SalePrice,Address,BuildingNumber,StreetName,ZipCode,Stories,BldgGrade,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,FinBasementGrade,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSystem,HeatSource,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpMultiStory,FpFreestanding,FpAdditional,YrBuilt,YrRenovated,Condition,Township,Section,QuarterSection,Area,SubArea,DistrictName,SqFtLot,WaterSystem,SewerSystem,Access,InadequateParking,LotDepthFactor,TrafficNoise,DocumentDate,Date
10,10050,380,445000,2435  S 354TH ST   98003,2435 ,354TH                    ,98003,1.0,7,1480,0,0,0,1480,0,0,0,0,440, ,80,0,120,5,2,3,0,0,2,1,0,0,0,1994,0,5,21,28,NE,55.0,15.0,KING COUNTY,6446,2,2,4,2,0,0,12/12/2019,2019
11,10050,380,311000,2435  S 354TH ST   98003,2435 ,354TH                    ,98003,1.0,7,1480,0,0,0,1480,0,0,0,0,440, ,80,0,120,5,2,3,0,0,2,1,0,0,0,1994,0,5,21,28,NE,55.0,15.0,KING COUNTY,6446,2,2,4,2,0,0,08/16/2019,2019
21,18800,95,730000,1602   LAKEVIEW BLVD E  98102,1602 ,LAKEVIEW                 ,98102,2.0,9,660,0,595,0,1540,380,285,8,0,0,Y,0,0,155,1,3,3,1,1,1,0,1,0,0,1984,0,3,25,20,SE,13.0,3.0,SEATTLE,3117,2,2,4,0,0,3,08/30/2019,2019
28,19110,310,1055700,4520   88TH AVE SE  98040,4520 ,88TH                     ,98040,1.0,8,1390,0,0,0,2780,1390,1390,7,0,0,Y,0,0,100,5,2,6,0,1,1,0,1,0,1,1967,0,3,24,18,SW,34.0,3.0,MERCER ISLAND,9525,2,2,4,2,0,0,10/01/2019,2019
34,17900,1770,565000,12207   50TH AVE S  98168,12207,50TH                     ,98168,1.0,8,1350,0,0,0,2230,1280,880,7,400,80,Y,40,0,100,5,3,3,0,0,2,1,0,0,0,2015,0,3,23,10,SE,24.0,5.0,TUKWILA,7820,2,2,4,2,0,0,12/13/2019,2019
36,17900,2501,610000,12566   50TH PL S  98178,12566,50TH                     ,98178,2.0,8,1110,0,1400,0,2510,0,0,0,0,400, ,0,0,0,5,2,4,1,0,2,0,0,0,0,2019,0,3,23,11,SW,24.0,5.0,TUKWILA,7077,2,2,4,2,0,0,10/22/2019,2019
46,17900,420,300000,12215   44TH AVE S  98178,12215,44TH                     ,98178,1.0,5,518,0,0,0,518,0,0,0,0,0,N,0,0,0,1,2,0,1,0,0,0,0,1,0,1916,0,3,23,10,SE,24.0,5.0,TUKWILA,6000,2,2,4,2,0,0,08/20/2019,2019
47,17900,2305,536000,12517   51ST PL S  ,12517,51ST                     ,,1.0,8,2190,0,0,0,2190,0,0,0,0,760,N,140,0,0,5,2,4,1,0,2,0,0,0,0,2015,0,3,23,11,SW,24.0,5.0,TUKWILA,12500,2,2,4,2,0,0,04/24/2019,2019
63,10300,190,1215000,2281  NE 61ST ST   98115,2281 ,61ST                     ,98115,1.5,8,1180,670,0,0,1180,830,0,0,0,0, ,0,0,0,5,2,2,0,0,1,0,1,0,0,1928,0,3,25,9,NW,44.0,1.0,SEATTLE,4600,2,2,4,2,0,0,08/09/2019,2019
86,19450,10,549000,10706  SW 133RD ST   98070,10706,133RD                    ,98070,1.0,7,1290,0,0,0,1290,0,0,0,0,0,N,0,0,0,5,2,3,0,1,1,0,0,1,0,1979,0,4,23,18,NW,100.0,1.0,KING COUNTY,34741,2,1,4,2,0,0,09/12/2019,2019
93,19245,200,515000,13809   437TH PL SE  98045,13809,437TH                    ,98045,1.0,7,840,0,0,0,1280,780,440,6,340,0,Y,0,0,320,4,3,4,0,0,2,0,0,0,0,1985,0,4,23,14,SW,80.0,3.0,KING COUNTY,20383,2,1,4,2,0,1,12/06/2019,2019
103,19450,120,550000,10703  SW 134TH PL   98070,10703,134TH                    ,98070,1.0,7,1352,0,0,0,1352,0,0,0,0,0,N,140,0,168,1,2,2,0,0,1,1,0,1,0,1965,0,5,23,18,NW,100.0,1.0,KING COUNTY,61760,2,1,4,2,0,0,10/07/2019,2019
124,20030,150,630000,14924   89TH PL NE  98028,14924,89TH                     ,98028,2.0,8,930,0,930,0,1860,0,0,0,0,470, ,40,0,0,5,2,4,1,0,2,1,0,0,0,1994,0,3,26,18,SW,37.0,2.0,KENMORE,6099,2,2,4,2,0,2,10/07/2019,2019
129,20080,340,615000,13618   174TH AVE NE  98052,13618,174TH                    ,98052,2.0,8,970,0,700,0,1670,0,0,0,0,440, ,0,0,90,5,2,3,0,0,2,0,1,0,0,1983,0,4,26,24,SE,72.0,4.0,KING COUNTY,7407,2,2,4,2,0,0,09/09/2019,2019
136,10454,70,350000,1711  SW 324TH ST   98023,1711 ,324TH                    ,98023,2.0,7,750,0,820,0,1570,0,0,0,0,520,N,0,0,480,5,2,3,1,0,2,0,1,0,0,1986,0,3,21,13,NE,54.0,18.0,FEDERAL WAY,5553,2,2,4,2,0,0,06/17/2019,2019
163,18200,112,550000,5527  S LANGSTON RD   98178,5527 ,LANGSTON                 ,98178,1.0,7,1400,0,0,0,1800,1400,400,6,0,480,Y,0,0,140,4,3,3,1,0,2,3,0,0,1,1963,0,3,23,11,SW,25.0,1.0,KING COUNTY,17300,2,1,4,0,0,0,08/28/2019,2019
180,10920,570,449500,33932   28TH PL SW  98023,33932,28TH                     ,98023,1.0,8,1460,0,0,0,2410,1230,950,7,280,160,Y,0,0,140,5,2,5,0,2,1,0,1,0,1,1979,0,4,21,24,NW,53.0,17.0,FEDERAL WAY,6696,2,2,4,2,0,0,07/26/2019,2019
213,19350,120,399950,14907  SE 270TH PL   98042,14907,270TH                    ,98042,1.0,8,2120,0,0,0,2120,0,0,0,0,0, ,0,0,0,5,1,4,0,1,1,1,0,1,0,1967,0,3,22,26,SW,86.0,1.0,KENT,10080,2,1,4,2,0,0,07/03/2019,2019
222,21750,55,450000,1820  N 148TH ST   98133,1820 ,148TH                    ,98133,1.0,8,1780,0,0,0,1780,0,0,0,0,530,N,0,0,600,5,2,3,0,2,1,1,0,0,1,1958,0,3,26,18,SE,2.0,6.0,SHORELINE,10447,2,2,4,2,0,0,10/22/2019,2019
228,22206,9103,550000,24840  SE 200TH ST   98038,24840,200TH                    ,98038,1.0,7,1260,0,0,0,2480,1220,1220,6,0,0,Y,0,0,290,4,3,5,0,0,2,0,1,0,1,1963,0,4,22,2,NW,66.0,10.0,KING COUNTY,208652,1,1,4,0,0,1,07/29/2019,2019
247,22105,9145,395000,29415   154TH AVE SE  98042,29415,154TH                    ,98042,2.0,8,1030,0,590,0,1620,860,0,0,480,0,N,0,0,830,5,2,3,1,1,1,0,0,0,0,1994,0,3,21,2,NW,58.0,4.0,KING COUNTY,104544,1,1,4,0,0,0,08/28/2019,2019
260,11410,1500,541950,17806   83RD PL NE  98028,17806,83RD                     ,98028,1.0,6,1370,0,0,0,1370,0,0,0,0,0, ,0,0,0,5,2,4,1,0,2,1,0,0,0,1918,0,4,26,12,NE,38.0,2.0,KENMORE,9993,2,2,4,2,0,1,05/05/2019,2019
264,11700,447,524950,4110  SW COLLEGE ST   98116,4110 ,COLLEGE                  ,98116,1.0,6,1070,0,0,0,1070,120,0,0,0,0,N,0,0,80,5,2,1,0,1,1,0,0,0,0,1908,0,3,24,11,NE,16.0,3.0,SEATTLE,1962,2,2,4,2,0,0,06/26/2019,2019
270,22105,9137,598500,15304  SE 296TH ST   98042,15304,296TH                    ,98042,1.0,7,2170,0,0,0,4340,2170,2170,6,0,720,N,0,0,780,5,1,5,0,0,3,0,0,1,0,1968,0,4,21,2,NW,58.0,4.0,KING COUNTY,43560,1,1,3,0,0,0,03/19/2019,2019
281,19580,120,575000,11013  SE 184TH PL   ,11013,184TH                    ,,2.0,8,1138,0,1286,0,2424,0,0,0,0,473, ,30,0,0,5,2,4,1,0,2,1,0,0,0,2014,0,3,23,32,SE,51.0,6.0,RENTON,5265,2,2,4,2,0,0,01/18/2019,2019
284,20051,390,975000,15221   92ND PL NE  98011,15221,92ND                     ,98011,2.0,9,1530,0,1190,0,2720,0,0,0,0,440, ,0,0,0,5,2,4,1,0,2,1,1,0,0,1989,0,5,26,18,SE,38.0,3.0,BOTHELL,7495,2,2,4,2,0,0,08/21/2019,2019
290,20230,25,740000,14044   BAGLEY AVE N  98133,14044,BAGLEY                   ,98133,1.0,7,1570,0,0,0,1570,0,0,0,0,0, ,0,0,0,4,3,4,0,1,1,1,0,0,0,1955,0,5,26,20,NW,6.0,3.0,SEATTLE,7847,2,2,4,0,0,0,02/04/2019,2019
293,20340,10,880000,27941  NE QUAIL CREEK DR   98053,27941,QUAIL CREEK              ,98053,2.0,8,1260,0,1180,0,2440,0,0,0,0,750, ,140,0,140,5,2,4,1,0,2,2,0,0,0,1995,0,4,25,19,SW,71.0,10.0,KING COUNTY,29630,2,1,4,2,0,0,07/11/2019,2019
305,17300,36,519950,13816 A  GREENWOOD AVE N  ,13816,GREENWOOD                ,,2.0,8,550,0,570,0,1370,500,250,8,250,0, ,0,0,30,5,2,3,1,2,1,1,0,0,0,2009,0,3,26,19,NW,6.0,4.0,SEATTLE,1001,2,2,4,0,0,0,03/01/2019,2019
324,20310,1530,640000,3304   288TH AVE NE  98053,3304 ,288TH                    ,98053,2.0,8,1540,0,430,0,1970,0,0,0,0,500, ,0,0,440,5,3,3,0,0,3,0,0,1,0,1983,0,4,25,19,NE,71.0,10.0,KING COUNTY,54450,2,1,4,2,0,0,11/21/2019,2019
349,12102,9024,505000,12921  SW BACHELOR RD   98070,12921,BACHELOR                 ,98070,1.0,6,680,0,0,0,680,0,0,0,0,0,N,0,0,380,4,3,1,0,1,1,0,0,1,0,1944,1990,3,21,1,SW,100.0,6.0,KING COUNTY,22745,1,1,4,2,2,0,08/23/2019,2019
353,12303,9068,420000,9834   20TH AVE SW  98106,9834 ,20TH                     ,98106,1.0,6,1040,0,0,0,1040,0,0,0,0,0, ,0,0,300,5,2,2,0,0,1,0,0,0,0,1918,0,3,23,1,NE,23.0,5.0,KING COUNTY,13600,2,2,4,2,0,0,08/30/2019,2019
377,20020,40,515400,207  S 172ND PL   98148,207  ,172ND                    ,98148,2.0,8,1280,0,1040,0,2320,300,0,0,0,440,N,0,0,430,5,3,4,1,0,2,1,1,0,0,1979,0,3,23,29,SW,96.0,2.0,BURIEN,7300,2,2,4,2,0,0,09/13/2019,2019
378,17300,32,500000,13820 A  GREENWOOD AVE N  ,13820,GREENWOOD                ,,2.0,8,620,0,620,0,1480,530,240,8,290,0, ,0,0,0,5,2,3,1,1,2,1,0,0,0,2009,0,3,26,19,NW,6.0,4.0,SEATTLE,1716,2,2,4,0,0,2,02/11/2019,2019
398,17900,2255,639000,12570   51ST PL S  98178,12570,51ST                     ,98178,2.5,9,830,350,1440,0,2620,0,0,0,0,480, ,190,0,0,5,2,5,1,0,2,1,0,0,0,2019,0,3,23,11,SW,24.0,5.0,TUKWILA,8445,2,2,4,2,0,0,07/25/2019,2019
